#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,wayland,"is the window manager and compositor."
,hyprland,"is the desktop environment."
,uswm,"is the session manager."
,greetd,"is the greeter (only used for safe auto-login from TTY)."
,hyprlock,"is a screen lock that is also used as a greeter."
,fprintd,"enables authentication with a fingerprint reader."
,hyprpolkitagent,"is required for GUI applications to be able to request elevated permissions."
,alacritty,"is the default terminal emulator."
A,librewolf-bin,"is the default browser."
,gnu-free-fonts,"provides a variety of widely used fonts."
